새로운 수업방식에 적응하자
"팀 프로젝트 내에서 코드 작업을 안하고 따로 프로젝트 빼놔서 작업했다가, 병합하려니깐 코드 중복이라던가 함수 중복이라던가? 하는 어려움이 있었다."
되도록 처음부터 팀 프로젝트를 할 시에는 팀 프로젝트 내에서 코드를 작성하도록 하자.
최대한 해보자.
너무 많은것을 하려하지 말고 하나씩 천천히 하려해야 마음도 차분해지고 할것을 명확히 할 수 있다. 그렇다고 너무천천히 걷지는 말자
"계획은 신중히, 포기는 과감히"
….
나의 부족한 많은 부분이 팀원들 덕분에 보완되었다
공부의 중요성. 공부를 했는데도 부족하다… 더욱 정진하자
코드를 못짜는 내 실력이 나와부렸다!
찾아보는것 과 물어봐서 이해되는부분을 확실히 알고 넘어가자
"계획은 더 철저히, 시간은 넉넉히"
컨디션 관리도 중요하니 해야된다
남들이 짠 코드도 읽고 정확하게 파악할 줄 알아야한다.
목표를 낮게 잡자
일찍자야한당
팀원분들 덕분에 든든하다
얼른 프로젝트 끝내고 팀원분들이 힘들게 만들고 준비한 코드들을 열심히 자랑하고싶다
많은걸 욕심내지 말자
함께 고민하여 해결하는 과정이 많으면 더 배우는게 많은 것 같다.
꼭 필요한 부분인지 고민하자. 그러다 보면 오류도 해결될지도
시간을 생각보다 일찍 더 타이트하게 잡는게 훨씬 좋을 것 같다
문제 정의를 두루뭉술하게가 아닌 상세히 하는 게 더 낫다.
고민하는 시간도 성과에 달성하기 위한 과정이다
조급해하지 말자. 남이 쓴 코드 갖다 쓰자. 모르면 물어보자!
천천히 하면 된다
"Firebase 연동의 복잡성을 깨닫고, 데이터 스냅샷을 이용해 상태 관리가 중요하다는 것을 깨달았다. UI 업데이트와 데이터 동기화의 어려움을 인지했다."
"코드 많이 찾고 읽어서 내 코드에 적용하기 , 빌드 에러 해결하다 급발진해서 다시처음부터 하는 일 없기,, 최대한 코드 살리면서 해결하기"
다음 시간에는 일단 레이아웃 디자인 고민하는게 프로젝트에 도움이 될 것 같다
카카오톡 오픈 채팅방에 안드로이드 스튜디오 1200명이 모여있는 방이 있는데 거기서 도움을 요청해봤다. 하지만 성과는 없었다.
급할 수록 놓치는 부분이 많아진다
공부 열심히 하자.
메인 기능을 만들자
기능을 구현하기 위해서는 제대로 기술에 대해 알아야 적재적소에 사용할 수 있을 것 같다.
